SiteID,Name,NameAlt,AncientName,Type,Subtype,Morphology,Period,StartDate,EndDate,ArchaeoStatus,Notes,Latitude,Longitude,Northing,Easting,LocQual,SizeHa,SizeQual,Source,SourceID,Pages,AltSource,AltSourcePages,AltSourceID,AltSizeHa,AltSizeQual
1,Elevation Point 577,,,Settlement,"{farm, installation, sherd scatter, structure}",Flat site on natural mound,Late Roman,70,324,Surveyed,,32.199380173,35.398311419,3565057.98297362,726070.496231164,A,0.4,B,Bar-Zertal 2021,1,91,,,,,A
1,Elevation Point 577,,,Settlement,"{farm, installation, sherd scatter, structure}",Flat site on natural mound,Iron Age I,-1150,-980,Surveyed,,32.199380173,35.398311419,3565057.98297362,726070.496231164,A,0.4,B,Bar-Zertal 2021,1,91,,,,,A
2,Zuhur el-Museif,,,Settlement,"{courtyard, farm}",Flat site,Late Roman-Byzantine,70,638,Surveyed,,32.200491032,35.392514674,3565168.98056417,725521.200462512,A,0.2,B,Bar-Zertal 2021,2,93,,,,,A
3,Elevation Point 427,,,Settlement,"{structure, threshing floor}",Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.197487788,35.406049471,3564864.44871316,726804.787984077,A,1,C,Bar-Zertal 2021,3,94,,,,,
3,Elevation Point 427,,,Settlement,"{structure, threshing floor}",Flat site,Late Roman,70,324,Surveyed,,32.197487788,35.406049471,3564864.44871316,726804.787984077,A,1,C,Bar-Zertal 2021,3,94,,,,,
4,Elevation Point 708 (South),,,Settlement,"{courtyard, installation}",Flat site on natural mound,Late Roman,70,324,Surveyed,,32.194906944,35.389565143,3564543.58489347,725256.872473035,A,0.2,C,Bar-Zertal 2021,4,95,,,,,
5,Zuhur esh-Safa (2),,,Settlement,"{installation, structure}",Flat site,Iron Age I-IIb,-1150,-720,Surveyed,,32.192022652,35.399368113,3564244.34461796,726188.342757433,A,1,C,Bar-Zertal 2021,5,95-96,,,,,
5,Zuhur esh-Safa (2),,,Settlement,"{installation, structure}",Flat site,Late Roman,70,324,Surveyed,,32.192022652,35.399368113,3564244.34461796,726188.342757433,A,1,C,Bar-Zertal 2021,5,95-96,,,,,
6,Elevation Point 667 (1),,,Settlement,{courtyard},Flat site,Late Roman,70,324,Surveyed,,32.192950621,35.407106634,3564363.56135037,726915.734982205,A,0.2,C,Bar-Zertal 2021,6,96,,,,,
6,Elevation Point 667 (1),,,Settlement,{courtyard},Flat site,Byzantine,324,638,Surveyed,,32.192950621,35.407106634,3564363.56135037,726915.734982205,A,0.2,C,Bar-Zertal 2021,6,96,,,,,
7,Elevation Point 667 (2),,,Settlement,"{courtyard, threshing floor}",Flat site,Iron Age I,-1150,-980,Surveyed,,32.190926283,35.406886464,3564138.62079441,726900.001174438,A,0.05,C,Bar-Zertal 2021,7,98,,,,,
7,Elevation Point 667 (2),,,Settlement,"{courtyard, threshing floor}",Flat site,Hellenistic-Early Roman,-333,70,Surveyed,,32.190926283,35.406886464,3564138.62079441,726900.001174438,A,0.05,C,Bar-Zertal 2021,7,98,,,,,
7,Elevation Point 667 (2),,,Settlement,"{courtyard, threshing floor}",Flat site,Byzantine,324,638,Surveyed,,32.190926283,35.406886464,3564138.62079441,726900.001174438,A,0.05,C,Bar-Zertal 2021,7,98,,,,,
7,Elevation Point 667 (2),,,Settlement,"{courtyard, threshing floor}",Flat site,Late Roman,70,324,Surveyed,,32.190926283,35.406886464,3564138.62079441,726900.001174438,A,0.05,C,Bar-Zertal 2021,7,98,,,,,
8,Zuhur esh-Shafa (1),,,Settlement,"{farm, road, winepress}",Flat site on natural mound,Hellenistic,-333,-63,Surveyed,,32.186865975,35.40331201,3563680.83827971,726573.013663936,A,0.2,C,Bar-Zertal 2021,8,99,,,,,
8,Zuhur esh-Shafa (1),,,Settlement,"{farm, road, winepress}",Flat site on natural mound,Byzantine,324,638,Surveyed,,32.186865975,35.40331201,3563680.83827971,726573.013663936,A,0.2,C,Bar-Zertal 2021,8,99,,,,,
8,Zuhur esh-Shafa (1),,,Settlement,"{farm, road, winepress}",Flat site on natural mound,Roman,-63,324,Surveyed,,32.186865975,35.40331201,3563680.83827971,726573.013663936,A,0.2,C,Bar-Zertal 2021,8,99,,,,,
9,Wadi Umm ez-Zrub (1),,,Settlement,"{structure, terrace}",Flat site,Iron Age II,-980,-539,Surveyed,,32.189894932,35.412981507,3564037.14191184,727477.303261947,A,0.2,C,Bar-Zertal 2021,9,101,,,,,
9,Wadi Umm ez-Zrub (1),,,Settlement,"{structure, terrace}",Flat site,Byzantine,324,638,Surveyed,,32.189894932,35.412981507,3564037.14191184,727477.303261947,A,0.2,C,Bar-Zertal 2021,9,101,,,,,
9,Wadi Umm ez-Zrub (1),,,Settlement,"{structure, terrace}",Flat site,Late Roman,70,324,Surveyed,,32.189894932,35.412981507,3564037.14191184,727477.303261947,A,0.2,C,Bar-Zertal 2021,9,101,,,,,
10,Elevation Point 572,,,Settlement,{large complex},Flat site,Middle Bronze Age,-2000,-1550,Surveyed,,32.185735844,35.392953506,3563533.72933594,725599.004003004,A,3,C,Bar-Zertal 2021,10,102,,,,,A
10,Elevation Point 572,,,Settlement,{large complex},Flat site,Hellenistic-Early Roman,-333,70,Surveyed,,32.185735844,35.392953506,3563533.72933594,725599.004003004,A,3,C,Bar-Zertal 2021,10,102,,,,,
10,Elevation Point 572,,,Settlement,{large complex},Flat site,Late Roman,70,324,Surveyed,,32.185735844,35.392953506,3563533.72933594,725599.004003004,A,3,C,Bar-Zertal 2021,10,102,,,,,
10,Elevation Point 572,,,Settlement,{large complex},Flat site,Byzantine,324,638,Surveyed,,32.185735844,35.392953506,3563533.72933594,725599.004003004,A,3,C,Bar-Zertal 2021,10,102,,,,,
11,Wadi Juni,,,Settlement,{farm},Flat site,Late Roman-Byzantine,70,638,Surveyed,,32.177199509,35.40605632,3562614.72979527,726855.789205584,A,0.1,C,Bar-Zertal 2021,12,107,,,,,
12,Elevation Point 557,,,Settlement,"{farm, road}",Flat site,Late Roman,70,324,Surveyed,,32.177752678,35.40875637,3562681.7708751,727109.055507165,A,0.05,C,Bar-Zertal 2021,13,109,,,,,
13,Wadi Umm ez-Zrub (2),,,Settlement,"{enclosure, sherd scatter}",Flat site on natural mound,Iron Age IIa-b,-980,-720,Surveyed,,32.185699704,35.411920038,3563569.6927324,727387.648438904,A,0.4,C,Bar-Zertal 2021,14,110,,,,,
13,Wadi Umm ez-Zrub (2),,,Settlement,"{enclosure, sherd scatter}",Flat site on natural mound,Late Roman,70,324,Surveyed,,32.185699704,35.411920038,3563569.6927324,727387.648438904,A,0.4,C,Bar-Zertal 2021,14,110,,,,,
13,Wadi Umm ez-Zrub (2),,,Settlement,"{enclosure, sherd scatter}",Flat site on natural mound,Byzantine,324,638,Surveyed,,32.185699704,35.411920038,3563569.6927324,727387.648438904,A,0.4,C,Bar-Zertal 2021,14,110,,,,,
14,Elevation Point 271 (West),,,Settlement,"{enclosure, road, sherd scatter}",Flat site,Late Roman,70,324,Surveyed,,32.183074845,35.412182547,3563279.18138647,727418.934276158,A,0.1,C,Bar-Zertal 2021,15,111,,,,,
14,Elevation Point 271 (West),,,Settlement,"{enclosure, road, sherd scatter}",Flat site,Byzantine,324,638,Surveyed,,32.183074845,35.412182547,3563279.18138647,727418.934276158,A,0.1,C,Bar-Zertal 2021,15,111,,,,,
15,Bir 'Abd el-Rahman (1),,,Settlement,"{cistern, farm}",Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.177921729,35.417496583,3562719.01591945,727932.915888189,A,0.5,C,Bar-Zertal 2021,16,112,,,,,
15,Bir 'Abd el-Rahman (1),,,Settlement,,Flat site,Iron Age III (Persian),-539,-333,Surveyed,,32.177921729,35.417496583,3562719.01591945,727932.915888189,A,0.5,C,Bar-Zertal 2021,16,112,,,,,
15,Bir 'Abd el-Rahman (1),,,Settlement,"{cistern, farm}",Flat site,Late Roman,70,324,Surveyed,,32.177921729,35.417496583,3562719.01591945,727932.915888189,A,0.5,C,Bar-Zertal 2021,16,112,,,,,
15,Bir 'Abd el-Rahman (1),,,Settlement,"{cistern, farm}",Flat site,Byzantine,324,638,Surveyed,,32.177921729,35.417496583,3562719.01591945,727932.915888189,A,0.5,C,Bar-Zertal 2021,16,112,,,,,
16,'Iraq Labadeh,,,Settlement,"{encampment, installation, structure}",Flat site,Iron Age I,-1150,-980,Surveyed,,32.182827423,35.425114463,3563279.18138647,728639.081929066,A,0.3,C,Bar-Zertal 2021,17,114,,,,,
16,'Iraq Labadeh,,,Settlement,"{encampment, installation, structure}",Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.182827423,35.425114463,3563279.18138647,728639.081929066,A,0.3,C,Bar-Zertal 2021,17,114,,,,,
16,'Iraq Labadeh,,,Settlement,"{encampment, installation, structure}",Flat site,Early Roman,-63,70,Surveyed,,32.182827423,35.425114463,3563279.18138647,728639.081929066,A,0.3,C,Bar-Zertal 2021,17,114,,,,,
16,'Iraq Labadeh,,,Settlement,"{encampment, installation, structure}",Flat site,Late Roman,70,324,Surveyed,,32.182827423,35.425114463,3563279.18138647,728639.081929066,A,0.3,C,Bar-Zertal 2021,17,114,,,,,
17,Wadi Sha'eb el-Bir,,,Settlement,{sherd scatter},Flat site on natural mound,Iron Age IIa-b,-980,-720,Surveyed,,32.170743897,35.39454332,3561874.64374113,725785.946156229,A,0.1,C,Bar-Zertal 2021,18,115,,,,,
17,Wadi Sha'eb el-Bir,,,Settlement,{sherd scatter},Flat site on natural mound,Iron Age III (Persian),-539,-333,Surveyed,,32.170743897,35.39454332,3561874.64374113,725785.946156229,A,0.1,C,Bar-Zertal 2021,18,115,,,,,
17,Wadi Sha'eb el-Bir,,,Settlement,{sherd scatter},Flat site on natural mound,Late Roman,70,324,Surveyed,,32.170743897,35.39454332,3561874.64374113,725785.946156229,A,0.1,C,Bar-Zertal 2021,18,115,,,,,
17,Wadi Sha'eb el-Bir,,,Settlement,{sherd scatter},Flat site on natural mound,Byzantine,324,638,Surveyed,,32.170743897,35.39454332,3561874.64374113,725785.946156229,A,0.1,C,Bar-Zertal 2021,18,115,,,,,
18,M'rah Abu Suheil,,,Settlement,"{cave, cistern, courtyard, threshing floor}",Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.17398471,35.420417203,3562288.64167416,728218.184012762,A,0.3,C,Bar-Zertal 2021,19,116,,,,,
18,M'rah Abu Suheil,,,Settlement,"{cave, cistern, courtyard, threshing floor}",Flat site,Late Roman,70,324,Surveyed,,32.17398471,35.420417203,3562288.64167416,728218.184012762,A,0.3,C,Bar-Zertal 2021,19,116,,,,,
19,Bir 'Abd el-Rahman (2),,,Settlement,"{enclosure, installation}",Flat site,Iron Age I-IIb,-1150,-720,Surveyed,,32.176544984,35.417271052,3562565.87243288,727915.078383224,A,0.2,C,Bar-Zertal 2021,20,118,,,,,
19,Bir 'Abd el-Rahman (2),,,Settlement,"{enclosure, installation}",Flat site,Hellenistic,-333,-63,Surveyed,,32.176544984,35.417271052,3562565.87243288,727915.078383224,A,0.2,C,Bar-Zertal 2021,20,118,,,,,
19,Bir 'Abd el-Rahman (2),,,Settlement,"{enclosure, installation}",Flat site,Early Roman,-63,70,Surveyed,,32.176544984,35.417271052,3562565.87243288,727915.078383224,A,0.2,C,Bar-Zertal 2021,20,118,,,,,
19,Bir 'Abd el-Rahman (2),,,Settlement,"{enclosure, installation}",Flat site,Late Roman,70,324,Surveyed,,32.176544984,35.417271052,3562565.87243288,727915.078383224,A,0.2,C,Bar-Zertal 2021,20,118,,,,,
19,Bir 'Abd el-Rahman (2),,,Settlement,"{enclosure, installation}",Flat site,Byzantine,324,638,Surveyed,,32.176544984,35.417271052,3562565.87243288,727915.078383224,A,0.2,C,Bar-Zertal 2021,20,118,,,,,
20,'Aqabet el-Butmeh (2),,,Settlement,"{enclosure, installation}",Flat site,Roman-Byzantine,-63,638,Surveyed,,32.17316025,35.417338364,3562190.68680608,727929.864023689,A,0.1,C,Bar-Zertal 2021,21,121,,,,,
21,'Aqabet el-Butmeh (1),,,Settlement,"{cave, courtyard}",Flat site,Roman-Byzantine,-63,638,Surveyed,,32.1722968,35.416296546,3562092.731938,727833.757360665,A,0.05,C,Bar-Zertal 2021,22,122,,,,,A
22,Elevation Point 422,,,Settlement,"{installation, sherd scatter, structure}",Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.167664509,35.38462588,3561512.39554974,724858.147217036,A,0.2,C,Bar-Zertal 2021,23,123,,,,,
22,Elevation Point 422,,,Settlement,"{installation, sherd scatter, structure}",Flat site,Late Roman-Byzantine,70,638,Surveyed,,32.167664509,35.38462588,3561512.39554974,724858.147217036,A,0.2,C,Bar-Zertal 2021,23,123,,,,,
22,Elevation Point 422,,,Settlement,"{installation, sherd scatter, structure}",Flat site,Iron Age III (Persian),-539,-333,Surveyed,,32.167664509,35.38462588,3561512.39554974,724858.147217036,A,0.2,C,Bar-Zertal 2021,23,123,,,,,
23,'Ein Mta'a,,,Settlement,{large settlement},Flat site,Early Bronze Age I,-3800,-3050,Surveyed,,32.166399635,35.391588336,3561386.71760578,725517.956422797,A,5,C,Bar-Zertal 2021,24,124,,,,,
23,'Ein Mta'a,,,Settlement,{large settlement},Flat site,Early Bronze Age II,-3050,-2850,Surveyed,,32.166399635,35.391588336,3561386.71760578,725517.956422797,A,5,C,Bar-Zertal 2021,24,124,,,,,
23,'Ein Mta'a,,,Settlement,{large settlement},Flat site,Early Bronze Age IV/Middle Bronze Age I/Int. Bronze,-2500,-2000,Surveyed,,32.166399635,35.391588336,3561386.71760578,725517.956422797,A,5,C,Bar-Zertal 2021,24,124,,,,,
23,'Ein Mta'a,,,Settlement,{installation},Flat site,Byzantine,324,638,Surveyed,,32.166399635,35.391588336,3561386.71760578,725517.956422797,A,5,C,Bar-Zertal 2021,24,124,,,,,
24,Elevation Point 395 (2),,,Settlement,{enclosure},Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.163149601,35.400379594,3561044.79967002,726355.193314141,A,0.01,C,Bar-Zertal 2021,25,128,,,,,
24,Elevation Point 395 (2),,,Settlement,{enclosure},Flat site,Late Roman,70,324,Surveyed,,32.163149601,35.400379594,3561044.79967002,726355.193314141,A,0.01,C,Bar-Zertal 2021,25,128,,,,,
24,Elevation Point 395 (2),,,Settlement,{enclosure},Flat site,Byzantine,324,638,Surveyed,,32.163149601,35.400379594,3561044.79967002,726355.193314141,A,0.01,C,Bar-Zertal 2021,25,128,,,,,
25,Elevation Point 395 (7),,,Settlement,"{sherd scatter, structure}",Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.161286627,35.393893809,3560824.58603735,725748.02714912,A,0.15,C,Bar-Zertal 2021,26,129,,,,,
25,Elevation Point 395 (7),,,Settlement,"{sherd scatter, structure}",Flat site,Early Roman,-63,70,Surveyed,,32.161286627,35.393893809,3560824.58603735,725748.02714912,A,0.15,C,Bar-Zertal 2021,26,129,,,,,
25,Elevation Point 395 (7),,,Settlement,"{sherd scatter, structure}",Flat site,Late Roman,70,324,Surveyed,,32.161286627,35.393893809,3560824.58603735,725748.02714912,A,0.15,C,Bar-Zertal 2021,26,129,,,,,
25,Elevation Point 395 (7),,,Settlement,"{sherd scatter, structure}",Flat site,Byzantine,324,638,Surveyed,,32.161286627,35.393893809,3560824.58603735,725748.02714912,A,0.15,C,Bar-Zertal 2021,26,129,,,,,
26,Elevation Point 395 (1),,,Cave,"{cave, road, terrace}",Cave,Byzantine,324,638,Surveyed,,32.160581219,35.396245871,3560751.30470679,725971.629157739,A,1,C,Bar-Zertal 2021,27,130,,,,,A
27,Elevation Point 395 (6),,,Settlement,{sherd scatter},Flat site,Early Bronze Age IV/Middle Bronze Age I/Int. Bronze,-2500,-2000,Surveyed,,32.159512653,35.394642573,3560629.44638662,725823.033471063,A,1,C,Bar-Zertal 2021,28,132,,,,,
27,Elevation Point 395 (6),,,Settlement,{sherd scatter},Flat site,Middle Bronze Age,-2000,-1550,Surveyed,,32.159512653,35.394642573,3560629.44638662,725823.033471063,A,1,C,Bar-Zertal 2021,28,132,,,,,
27,Elevation Point 395 (6),,,Settlement,{sherd scatter},Flat site,Iron Age I,-1150,-980,Surveyed,,32.159512653,35.394642573,3560629.44638662,725823.033471063,A,1,C,Bar-Zertal 2021,28,132,,,,,
27,Elevation Point 395 (6),,,Settlement,{sherd scatter},Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.159512653,35.394642573,3560629.44638662,725823.033471063,A,1,C,Bar-Zertal 2021,28,132,,,,,
27,Elevation Point 395 (6),,,Settlement,{sherd scatter},Flat site,Early Roman,-63,70,Surveyed,,32.159512653,35.394642573,3560629.44638662,725823.033471063,A,1,C,Bar-Zertal 2021,28,132,,,,,
27,Elevation Point 395 (6),,,Settlement,{sherd scatter},Flat site,Late Roman,70,324,Surveyed,,32.159512653,35.394642573,3560629.44638662,725823.033471063,A,1,C,Bar-Zertal 2021,28,132,,,,,
27,Elevation Point 395 (6),,,Settlement,{sherd scatter},Flat site,Byzantine,324,638,Surveyed,,32.159512653,35.394642573,3560629.44638662,725823.033471063,A,1,C,Bar-Zertal 2021,28,132,,,,,
28,Elevation Point 475,,,Settlement,"{courtyard, installation, structure, threshing floor}",Flat site on natural mound,Late Roman,70,324,Surveyed,,32.165907071,35.401981641,3561353.94276942,726499.476522348,A,0.05,C,Bar-Zertal 2021,29,134,,,,,
28,Elevation Point 475,,,Settlement,"{courtyard, installation, structure, threshing floor}",Flat site on natural mound,Byzantine,324,638,Surveyed,,32.165907071,35.401981641,3561353.94276942,726499.476522348,A,0.05,C,Bar-Zertal 2021,29,134,,,,,
29,Khallet el-Loz (1),,,Settlement,"{courtyard, structure}",Flat site on natural mound,Late Roman,70,324,Surveyed,,32.165090403,35.405487238,3561270.7735418,726832.153432816,A,0.04,C,Bar-Zertal 2021,30,135,,,,,
30,Khallet el-Loz (2),,,Settlement,{enclosure},Flat site,Middle Bronze Age,-2000,-1550,Surveyed,,32.164733963,35.404948813,3561230.11303052,726782.251896246,A,0.01,C,Bar-Zertal 2021,31,136,,,,,
30,Khallet el-Loz (2),,,Settlement,{enclosure},Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.164733963,35.404948813,3561230.11303052,726782.251896246,A,0.01,C,Bar-Zertal 2021,31,136,,,,,
30,Khallet el-Loz (2),,,Settlement,{enclosure},Flat site,Late Roman,70,324,Surveyed,,32.164733963,35.404948813,3561230.11303052,726782.251896246,A,0.01,C,Bar-Zertal 2021,31,136,,,,,
31,Wadi Khallet el-'Ein (2),,,Settlement,"{enclosure, structure}",Flat site,Late Roman,70,324,Surveyed,,32.159637325,35.40563779,3560666.41048778,726859.876508688,A,0.05,C,Bar-Zertal 2021,32,137,,,,,
32,Elevation point 293,,,Settlement,"{enclosure, flint scatter, sherd scatter, structure}",Flat site,Roman-Byzantine,-63,638,Surveyed,,32.165200433,35.418069878,3561309.58584802,728018.701080151,A,0.1,C,Bar-Zertal 2021,33,138,,,,,
33,Mekhora Pool,,,Settlement,{structure},Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.166006423,35.41775807,3561398.29969081,727987.281594163,A,0.3,C,Bar-Zertal 2021,34,140,,,,,
33,Mekhora Pool,,,Settlement,{structure},Flat site,Byzantine,324,638,Surveyed,,32.166006423,35.41775807,3561398.29969081,727987.281594163,A,0.3,C,Bar-Zertal 2021,34,140,,,,,
33,Mekhora Pool,,,Settlement,{structure},Flat site,Late Roman,70,324,Surveyed,,32.166006423,35.41775807,3561398.29969081,727987.281594163,A,0.3,C,Bar-Zertal 2021,34,140,,,,,
34,En-Najmeh (1),,,Settlement,"{farm, road, threshing floor}",Flat site on natural mound,Iron Age II,-980,-539,Surveyed,,32.161375827,35.416734399,3560882.65047959,727902.264161488,A,2.5,C,Bar-Zertal 2021,35,142,,,,,
34,En-Najmeh (1),,,Settlement,"{farm, road, threshing floor}",Flat site on natural mound,Late Roman-Byzantine,70,638,Surveyed,,32.161375827,35.416734399,3560882.65047959,727902.264161488,A,2.5,C,Bar-Zertal 2021,35,142,,,,,
35,En-Najmeh (2),,,Settlement,{sherd scatter},Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.16122812,35.414869092,3560862.32022395,727726.684680963,A,0.2,C,Bar-Zertal 2021,36,145,,,,,
35,En-Najmeh (2),,,Settlement,{sherd scatter},Flat site,Early Roman,-63,70,Surveyed,,32.16122812,35.414869092,3560862.32022395,727726.684680963,A,0.2,C,Bar-Zertal 2021,36,145,,,,,
35,En-Najmeh (2),,,Settlement,{sherd scatter},Flat site,Late Roman,70,324,Surveyed,,32.16122812,35.414869092,3560862.32022395,727726.684680963,A,0.2,C,Bar-Zertal 2021,36,145,,,,,
35,En-Najmeh (2),,,Settlement,{sherd scatter},Flat site,Byzantine,324,638,Surveyed,,32.16122812,35.414869092,3560862.32022395,727726.684680963,A,0.2,C,Bar-Zertal 2021,36,145,,,,,
36,Wadi Khallet el-'Ein (3),,,Settlement,{courtyard},Flat site,Late Roman,70,324,Surveyed,,32.158159524,35.399340394,3560489.27467329,726269.513541374,A,3,C,Bar-Zertal 2021,37,146,,,,,
36,Wadi Khallet el-'Ein (3),,,Settlement,{courtyard},Flat site,Byzantine,324,638,Surveyed,,32.158159524,35.399340394,3560489.27467329,726269.513541374,A,3,C,Bar-Zertal 2021,37,146,,,,,
36,Wadi Khallet el-'Ein (3),,,Settlement,{courtyard},Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.158159524,35.399340394,3560489.27467329,726269.513541374,A,3,C,Bar-Zertal 2021,37,146,,,,,
37,Elevation point 395 (3),,,Settlement,"{installation, sherd scatter, structure}",Flat site,Middle Bronze Age II-III,-1750,-1550,Surveyed,,32.158031164,35.397497179,3560471.1649756,726095.962271879,A,0.3,C,Bar-Zertal 2021,39,149,,,,,
37,Elevation point 395 (3),,,Settlement,"{installation, sherd scatter, structure}",Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.158031164,35.397497179,3560471.1649756,726095.962271879,A,0.3,C,Bar-Zertal 2021,39,149,,,,,
37,Elevation point 395 (3),,,Settlement,"{installation, sherd scatter, structure}",Flat site,Roman,-63,324,Surveyed,,32.158031164,35.397497179,3560471.1649756,726095.962271879,A,0.3,C,Bar-Zertal 2021,39,149,,,,,
38,Elevation point 395 (5),,,Settlement,"{cave, oil press, structure}",Flat site,Late Roman,70,324,Surveyed,Finkelstein site 18-17/73/02,32.156865044,35.395114852,3560336.85138443,725874.118475221,A,0.1,C,Bar-Zertal 2021,41,152,{Finkelstein et al. 1997},847,,,
38,Elevation point 395 (5),,,Settlement,"{cave, oil press}",Flat site,Byzantine,324,638,Surveyed,Finkelstein site 18-17/73/02,32.156865044,35.395114852,3560336.85138443,725874.118475221,A,0.1,C,Bar-Zertal 2021,41,152,{Finkelstein et al. 1997},847,,,
38,Elevation point 395 (5),,,Settlement,"{cave, oil press, structure}",Flat site,Iron Age IIa-b,-980,-720,Surveyed,Finkelstein site 18-17/73/02,32.156865044,35.395114852,3560336.85138443,725874.118475221,A,0.1,C,Bar-Zertal 2021,41,152,{Finkelstein et al. 1997},847,,,
39,Elevation point 395 (4),,,Settlement,"{courtyard, oil press, threshing floor}",Flat site,Early Roman,-63,70,Surveyed,,32.15728277,35.396053701,3560385.14391159,725961.648680705,A,0.5,C,Bar-Zertal 2021,42,153,,,,,
39,Elevation point 395 (4),,,Settlement,"{courtyard, oil press, threshing floor}",Flat site,Late Roman,70,324,Surveyed,,32.15728277,35.396053701,3560385.14391159,725961.648680705,A,0.5,C,Bar-Zertal 2021,42,153,,,,,
39,Elevation point 395 (4),,,Settlement,"{courtyard, oil press, threshing floor}",Flat site,Hellenistic,-333,-63,Surveyed,,32.15728277,35.396053701,3560385.14391159,725961.648680705,A,0.5,C,Bar-Zertal 2021,42,153,,,,,
39,Elevation point 395 (4),,,Settlement,"{courtyard, oil press, threshing floor}",Flat site,Byzantine,324,638,Surveyed,,32.15728277,35.396053701,3560385.14391159,725961.648680705,A,0.5,C,Bar-Zertal 2021,42,153,,,,,
39,Elevation point 395 (4),,,Settlement,"{courtyard, oil press, threshing floor}",Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.15728277,35.396053701,3560385.14391159,725961.648680705,A,0.5,C,Bar-Zertal 2021,42,153,,,,,
40,Elevation Point 395 (8),,,Settlement,{enclosure},Flat site,Iron Age I-IIb,-1150,-720,Surveyed,,32.157084477,35.39201125,3560354.67038926,725580.814315719,A,0.05,C,Bar-Zertal 2021,44,158,,,,,
40,Elevation Point 395 (8),,,Settlement,{enclosure},Flat site,Late Roman,70,324,Surveyed,,32.157084477,35.39201125,3560354.67038926,725580.814315719,A,0.05,C,Bar-Zertal 2021,44,158,,,,,
40,Elevation Point 395 (8),,,Settlement,{enclosure},Flat site,Byzantine,324,638,Surveyed,,32.157084477,35.39201125,3560354.67038926,725580.814315719,A,0.05,C,Bar-Zertal 2021,44,158,,,,,
40,Elevation Point 395 (8),,,Settlement,{enclosure},Flat site,Early Bronze Age IV/Middle Bronze Age I/Int. Bronze,-2500,-2000,Surveyed,,32.157084477,35.39201125,3560354.67038926,725580.814315719,A,0.05,C,Bar-Zertal 2021,44,158,,,,,
41,Elevation point 395 (9),,,Settlement,{enclosure},Flat site,Iron Age IIa-b,-980,-720,Surveyed,,32.156034069,35.391614078,3560237.36052437,725545.938409942,A,0.03,C,Bar-Zertal 2021,45,160,,,,,
41,Elevation point 395 (9),,,Settlement,{enclosure},Flat site,Late Roman,70,324,Surveyed,,32.156034069,35.391614078,3560237.36052437,725545.938409942,A,0.03,C,Bar-Zertal 2021,45,160,,,,,
41,Elevation point 395 (9),,,Settlement,{enclosure},Flat site,Byzantine,324,638,Surveyed,,32.156034069,35.391614078,3560237.36052437,725545.938409942,A,0.03,C,Bar-Zertal 2021,45,160,,,,,
42,Khirbet Tana et-Tahta (Western Quarter),,,Settlement,{large settlement},Flat site,Iron Age I-IIb,-1150,-720,Surveyed,,32.153941186,35.391156073,3560004.32606304,725507.891967275,A,5,C,Bar-Zertal 2021,46,161,,,,,
42,Khirbet Tana et-Tahta (Western Quarter),,,Settlement,{large settlement},Flat site,Roman,-63,324,Surveyed,,32.153941186,35.391156073,3560004.32606304,725507.891967275,A,5,C,Bar-Zertal 2021,46,161,,,,,
42,Khirbet Tana et-Tahta (Western Quarter),,,Settlement,{large settlement},Flat site,Late Roman,70,324,Surveyed,,32.153941186,35.391156073,3560004.32606304,725507.891967275,A,5,C,Bar-Zertal 2021,46,161,,,,,
42,Khirbet Tana et-Tahta (Western Quarter),,,Settlement,{large settlement},Flat site,Byzantine,324,638,Surveyed,,32.153941186,35.391156073,3560004.32606304,725507.891967275,A,5,C,Bar-Zertal 2021,46,161,,,,,
